Label,StopwordRemovedSentence
positive,taking mental vision radius five hundred leagues westward could see parallel little known volcanoes northwest coast america
neutral,east one existed somewhere eightieth degree latitude esk upon island jan mayen far frozen regions spitsbergen
negative,craters wanting many big enough vomit whole army wished know particular one towards making fearful velocity
negative,often think folly ever expected escape
positive,towards morning ascending motion became greater greater
positive,degree heat increased instead decreasing approached surface earth simply causes local wholly due volcanic influence
negative,style locomotion left mind doubt upon subject
positive,enormous force force several hundreds atmospheres produced vapors accumulated long compressed interior earth hoisting us upwards irresistible power
negative,though approaching light day fearful dangers exposed
negative,instant death appeared fate could expect contemplate
neutral,soon dim sepulchral light penetrated vertical gallery became wider wider
negative,could make right left long dark corridors like immense tunnels awful horrid vapors poured
neutral,tongues fire sparkling crackling appeared lick us
neutral,hour come
neutral,look uncle look
negative,cried
positive,well see great sulphurous flames
neutral,nothing common connection eruption
neutral,lap us round
negative,angrily replied
positive,lap us round quiet serene answer
negative,end stifle us cried
negative,shall stifled
negative,gallery rapidly becoming wider wider necessary presently leave raft take refuge fissure rock
neutral,water water continually ascending
neutral,despairingly replied
positive,longer water harry answered kind lava paste heaving us company mouth crater
neutral,truth liquid column water wholly disappeared give place dense masses boiling eruptive matter
negative,temperature becoming utterly insupportable thermometer exposed atmosphere would marked one hundred eighty nine one hundred ninety degrees fahrenheit
neutral,perspiration rushed every pore
negative,extraordinary rapidity ascent stifled
positive,nevertheless professor carry proposition abandoning raft quite wisely
negative,ill joined beams offered anyway solid surface support elsewhere must utterly failed us
negative,towards eight clock morning new incident startled us
neutral,ascensional movement suddenly ceased
neutral,raft became still motionless
positive,matter
negative,said querulously much startled change
neutral,simple halt replied uncle
negative,eruption fail
neutral,asked
positive,hope
positive,without making reply rose
neutral,tried look around
neutral,perhaps raft checked projecting rock opposed momentary resistance eruptive mass
neutral,case absolutely necessary release quickly possible
positive,nothing kind occurred
negative,column cinders scoriae broken rocks earth wholly ceased ascend
negative,tell uncle eruption stopped oracular decision
neutral,ah said uncle think boy
negative,wrong
neutral,least alarmed sudden moment calm last long assured
neutral,already endured five minutes many minutes older shall continuing journey mouth crater
neutral,time speaking professor continued consult chronometer probably right prognostics
negative,soon raft resumed motion rapid disorderly way lasted two minutes thereabout stopped suddenly
